Temperatura (°C),Peso específico G (kN/m3),Densidad R (kg/m3),Viscosidad dinámica H (Pa·s),Viscosidad cinemática N (m2/s)
0,9.81,1000,1.75e-3,1.75e-6
5,9.81,1000,1.52e-3,1.52e-6
10,9.81,1000,1.30e-3,1.30e-6
15,9.81,1000,1.15e-3,1.15e-6
20,9.79,998,1.02e-3,1.02e-6
25,9.78,997,8.91e-4,8.94e-7
30,9.77,996,8.00e-4,8.03e-7
35,9.75,994,7.18e-4,7.22e-7
40,9.73,992,6.51e-4,6.56e-7
45,9.71,990,5.94e-4,6.00e-7
50,9.69,988,5.41e-4,5.48e-7
55,9.67,986,4.98e-4,5.05e-7
60,9.65,984,4.60e-4,4.67e-7
65,9.62,981,4.31e-4,4.39e-7
70,9.59,978,4.02e-4,4.11e-7
75,9.56,975,3.73e-4,3.83e-7
80,9.53,971,3.50e-4,3.60e-7
85,9.50,968,3.30e-4,3.41e-7
90,9.47,965,3.11e-4,3.22e-7
95,9.44,962,2.92e-4,3.04e-7
100,9.40,958,2.82e-4,2.94e-7


