Nominal NPS(in), Nominal DN(mm), D.E(in),D.E (mm),Espesor(in),Espesor(mm),D.I(in),D.I(ft),D.I(mm),Á de f(ft2), Á de f(m 2)
1/8,6,0.405,10.3,0.068,1.73,0.269,0.0224,6.8,0.000,394,3.660e-5
1/4,8,0.540,13.7,0.088,2.24,0.364,0.0303,9.2,0.000,723,6.717e-5
3/8,10,0.675,17.1,0.091,2.31,0.493,0.0411,12.5,0.001,33,1.236e-4
1/2,15,0.840,21.3,0.109,2.77,0.622,0.0518,15.8,0.002,11,1.960e-4
3/4,20,1.050,26.7,0.113,2.87,0.824,0.0687,20.9,0.003,70,3.437e-4
1,25,1.315,33.4,0.133,3.38,1.049,0.0874,26.6,0.006,00,5.574e-4
1 1/4,32,1.660,42.2,0.140,3.56,1.380,0.1150,35.1,0.010,39,9.653e-4
1 1/2,40,1.900,48.3,0.145,3.68,1.610,0.1342,40.9,0.014,14,1.314e-3
2,50,2.375,60.3,0.154,3.91,2.067,0.1723,52.5,0.023,33,2.168e-3
2 1/2,65,2.875,73.0,0.203,5.16,2.469,0.2058,62.7,0.033,26,3.090e-3
3,80,3.500,88.9,0.216,5.49,3.068,0.2557,77.9,0.051,32,4.768e-3
3 1/2,90,4.000,101.6,0.226,5.74,3.548,0.2957,90.1,0.068,68,6.381e-3
4,100,4.500,114.3,0.237,6.02,4.026,0.3355,102.3,0.088,40,8.213e-3
5,125,5.563,141.3,0.258,6.55,5.047,0.4206,128.2,0.139,0,1.291e-2
6,150,6.625,168.3,0.280,7.11,6.065,0.5054,154.1,0.200,6,1.864e-2
8,200,8.625,219.1,0.322,8.18,7.981,0.6651,202.7,0.347,2,3.226e-2
10,250,10.750,273.1,0.365,9.27,10.020,0.8350,254.5,0.547,9,5.090e-2
12,300,12.750,323.9,0.406,10.31,11.938,0.9948,303.2,0.777,1,7.219e-2
14,350,14.000,355.6,0.437,11.10,13.126,1.094,333.4,0.939,6,8.729e-2
16,400,16.000,406.4,0.500,12.70,15.000,1.250,381.0,1.227,0.1140
18,450,18.000,457.2,0.562,14.27,16.876,1.406,428.7,1.553,0.1443
20,500,20.000,508.0,0.593,15.06,18.814,1.568,477.9,1.931,0.1794
24,600,24.000,609.6,0.687,17.45,22.626,1.886,574.7,2.792,0.2594
