NPS,DN,D.E(in),D.E(mm),Espesor(in),Espesor(mm),D.I(in),D.I(ft),D.I(mm),Área de f(ft2),Área de f(m2)
1/8,6,0.405,10.3,0.095,2.41,0.215,0.01792,5.5,0.000253,2.350e-5
1/4,8,0.540,13.7,0.119,3.02,0.302,0.02517,7.7,0.000497,4.617e-5
3/8,10,0.675,17.1,0.126,3.20,0.423,0.03525,10.7,0.000976,9.067e-5
1/2,15,0.840,21.3,0.147,3.73,0.546,0.04550,13.9,0.001625,1.510e-4
3/4,20,1.050,26.7,0.154,3.91,0.742,0.06183,18.8,0.00300,2.787e-4
1,25,1.315,33.4,0.179,4.55,0.957,0.07975,24.3,0.00499,4.636e-4
1 1/4,32,1.660,42.2,0.191,4.85,1.278,0.10650,32.5,0.00891,8.278e-4
1 1/2,40,1.900,48.3,0.200,5.08,1.500,0.12500,38.1,0.01227,1.140e-3
2,50,2.375,60.3,0.218,5.54,1.939,0.16163,49.3,0.02051,1.905e-3
2 1/2,65,2.875,73.0,0.276,7.01,2.323,0.19363,59.0,0.02944,2.735e-3
3,80,3.500,88.9,0.300,7.62,2.900,0.24175,73.7,0.04590,4.264e-3
3 1/2,90,4.000,101.6,0.318,8.08,3.364,0.28031,85.4,0.06174,5.736e-3
4,100,4.500,114.3,0.337,8.56,3.826,0.31888,97.2,0.07986,7.419e-3
5,125,5.563,141.3,0.375,9.53,4.813,0.4011,122.3,0.1263,1.173e-2
6,150,6.625,168.3,0.432,10.97,5.761,0.4801,146.3,0.1810,1.682e-2
8,200,8.625,219.1,0.500,12.70,7.625,0.6354,193.7,0.3174,2.949e-2
10,250,10.750,273.1,0.593,15.06,9.564,0.7970,242.9,0.4986,4.632e-2
12,300,12.750,323.9,0.687,17.45,11.376,0.9480,289.0,0.7056,6.555e-2
14,350,14.000,355.6,0.750,19.05,12.500,1.042,317.5,0.8521,7.916e-2
16,400,16.000,406.4,0.842,21.39,14.314,1.193,363.6,1.1170,0.1038
18,450,18.000,457.2,0.937,23.80,16.126,1.344,409.6,1.4180,0.1317
20,500,20.000,508.0,1.031,26.19,17.938,1.495,455.6,1.7550,0.1630
24,600,24.000,609.6,1.218,30.94,21.564,1.797,547.7,2.5350,0.2344

